metric,value
runtime_s,11.017203569412231
built_total,100
sent_total,100
dropped_total,0
packets_affected_by_reroute,0
primary_sent,20
backup_sent,80
ack_acks_received,135
ack_acks_missed,7
ack_failures_detected,1
ack_acks_before_failure,20
ack_failure_detect_time,1783609693.5275593
ack_last_ack_time,1783609701.6887434
packet_loss_rate_pct,0.0
throughput_pps,9.076713466349702
probe_loss_rate_pct,4.929577464788732
path_flap_count,1
send_time_jitter_s,0.0050609273737382415
send_p50,0.032346157000006315
send_p95,0.03958985240001169
send_p99,0.043668178630018845
reroute_time_s,5.3882598876953125e-05
recovery_time_objective_s,0.09601688385009766
