metric,value
runtime_s,11.013068914413452
built_total,100
sent_total,100
dropped_total,0
packets_affected_by_reroute,0
primary_sent,38
backup_sent,62
ack_acks_received,94
ack_acks_missed,7
ack_failures_detected,1
ack_acks_before_failure,32
ack_failure_detect_time,1784145928.444016
ack_last_ack_time,1784145934.690838
packet_loss_rate_pct,0.0
throughput_pps,9.080121152163509
probe_loss_rate_pct,6.930693069306931
path_flap_count,1
send_time_jitter_s,0.005302351868908083
send_p50,0.03158091899967985
send_p95,0.04040603060075227
send_p99,0.04384442929982472
reroute_time_s,0.00010347366333007812
recovery_time_objective_s,0.11040687561035156
